dataset,seed,arm,base_f1,act_f1,gain,feedback_weight_mean,cA_transport_error_logeuc,cDm_transport_error_logeuc,dual_transport_error_logeuc
atrialfibrillation,1,mba_core,0.2929292929292929,0.1666666666666666,-0.1262626262626262,,,,
atrialfibrillation,2,mba_core,0.1666666666666666,0.3205128205128205,0.1538461538461538,,,,
atrialfibrillation,3,mba_core,0.3722943722943723,0.3777777777777777,0.0054834054834054,,,,
atrialfibrillation,1,wavelet_ca_only,0.2649572649572649,0.199074074074074,-0.0658831908831908,0.8428505108864219,0.0087024869263806,0.0,0.0
atrialfibrillation,2,wavelet_ca_only,0.1666666666666666,0.2,0.0333333333333333,0.8103695345612673,0.0103486014566966,0.0,0.0
atrialfibrillation,3,wavelet_ca_only,0.3356643356643357,0.1403508771929824,-0.1953134584713532,0.8645638826465796,0.0098870686014584,0.0,0.0
atrialfibrillation,1,wavelet_dual_a_dm,0.125,0.199074074074074,0.074074074074074,0.8337317951575474,0.0087024869263806,0.0790959395482986,0.0438992132373396
atrialfibrillation,2,wavelet_dual_a_dm,0.2009803921568627,0.3205128205128205,0.1195324283559577,0.81947969995715,0.0103486014566966,0.104212752335064,0.0572806768958803
atrialfibrillation,3,wavelet_dual_a_dm,0.1666666666666666,0.2666666666666666,0.1,0.8656126662536904,0.0098870686014584,0.1076552505840111,0.0587711595927348
handwriting,1,mba_core,0.2473870377098452,0.4291596442139912,0.181772606504146,,,,
handwriting,2,mba_core,0.2613749463740087,0.3457963551558514,0.0844214087818426,,,,
handwriting,3,mba_core,0.2564158587367566,0.375672551121782,0.1192566923850254,,,,
handwriting,1,wavelet_ca_only,0.2100155489941941,0.2681257033923865,0.0581101543981924,0.5864959779273098,0.0001127241411902,0.0,0.0
handwriting,2,wavelet_ca_only,0.2370798959683619,0.2877565634093179,0.0506766674409559,0.5658100663684309,0.0001102991602821,0.0,0.0
handwriting,3,wavelet_ca_only,0.2395469079402597,0.2273723223623622,-0.0121745855778975,0.5772382891892145,0.0001119936497611,0.0,0.0
handwriting,1,wavelet_dual_a_dm,0.2580081412533411,0.1996318848127874,-0.0583762564405537,0.583146172897735,0.0001127241411902,0.0013670689788503,0.0007398965600203
handwriting,2,wavelet_dual_a_dm,0.2509161953171489,0.2779176832807084,0.0270014879635595,0.5766569904672603,0.0001102991602821,0.0014266159744333,0.0007684575673577
handwriting,3,wavelet_dual_a_dm,0.220840785668832,0.2484287689706204,0.0275879833017883,0.5657962743619768,0.0001119936497611,0.0014547125678658,0.0007833531088134
natops,1,mba_core,0.910896063815231,0.893280158495548,-0.017615905319683,,,,
natops,2,mba_core,0.9173497267759562,0.9049132172931889,-0.0124365094827673,,,,
natops,3,mba_core,0.9342083490960608,0.9443919195203464,0.0101835704242855,,,,
natops,1,wavelet_ca_only,0.9065101766571804,0.8964788109552798,-0.0100313657019006,0.8986968733976634,5.757881448093754,0.0,0.0
natops,2,wavelet_ca_only,0.908255976179048,0.9133594990757374,0.0051035228966894,0.8908709147278893,5.753245590094294,0.0,0.0
natops,3,wavelet_ca_only,0.9067602240370476,0.928659932075091,0.0218997080380435,0.9018085347300964,5.756556524070662,0.0,0.0
natops,1,wavelet_dual_a_dm,0.8654853412033727,0.9381392317971924,0.0726538905938195,0.9016074734507128,5.757881448093754,5.86224910426908,5.810065276181417
natops,2,wavelet_dual_a_dm,0.9036120008357286,0.8440458824309376,-0.0595661184047909,0.8775538163542579,5.753245590094294,5.8559201601749615,5.804582875134628
natops,3,wavelet_dual_a_dm,0.92,0.8974572301829874,-0.0225427698170125,0.8913834520951949,5.756556524070662,5.863300513938564,5.809928519004613
